state_dim,lstm_hidden,mlp_hidden,num_layers,max_len,num_epochs,eagen_minus_time,eaforward_time,eye_time,bench_name,base_model_name,dataset_path,td,batch_size,lr,weight_decay,beta,alpha,dropout,gamma,timestamp,action_length_mean,action_length_std,action_length_25%,action_length_75%,eye_speed_mean,eye_speed_std,eye_speed_25%,eye_speed_75%,avg_acc_lens_mean,avg_acc_lens_std,avg_acc_lens_25%,avg_acc_lens_75%,eagle_speed_mean,eagle_speed_std,eagle_speed_25%,eagle_speed_75%,optimal_avg_acc_lens_diff_mean,optimal_avg_acc_lens_diff_std,optimal_avg_acc_lens_diff_25%,optimal_avg_acc_lens_diff_75%,ratio
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.02877,0.01,0.1,0.99,2025-07-27 00:34:43,6.9998364,0.0086768195,7.0,7.0,45.918533,25.930855,24.05128288269043,70.06243133544922,4.398387,2.4328582,2.39676833152771,6.626282691955566,47.381794,26.208176,25.819175720214844,71.38160705566406,-1.778143e-05,0.0018248823,0.0,2.384185791015625e-07,0.96911764
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.02877,0.01,0.1,0.98,2025-07-27 01:07:15,6.999795,0.009900274,7.0,7.0,45.9794,25.95288,24.05128288269043,70.06243133544922,4.3983636,2.4328554,2.39676833152771,6.626033306121826,47.381794,26.208176,25.819175720214844,71.38160705566406,-4.1374347e-05,0.0030158064,0.0,2.384185791015625e-07,0.9704023
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.002877,0.001,0.1,0.99,2025-07-27 01:37:25,6.9954405,0.047160253,7.0,7.0,46.013706,25.968325,24.05128288269043,70.06243133544922,4.39729,2.432472,2.39676833152771,6.625617980957031,47.381794,26.208176,25.819175720214844,71.38160705566406,-0.0011144698,0.016562024,0.0,2.384185791015625e-07,0.9711263
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.02877,0.01,0.2,0.99,2025-07-27 01:39:05,6.999654,0.013470482,7.0,7.0,45.987175,25.944487,24.05128288269043,70.06243133544922,4.3982944,2.4328535,2.3964109420776367,6.626282691955566,47.381794,26.208176,25.819175720214844,71.38160705566406,-0.00011028348,0.0049678134,0.0,2.384185791015625e-07,0.97056633
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.02877,0.01,0.2,0.98,2025-07-27 02:11:12,6.9998813,0.0073263235,7.0,7.0,45.989597,25.964706,24.05128288269043,70.06243133544922,4.398378,2.4328759,2.39676833152771,6.626282691955566,47.381794,26.208176,25.819175720214844,71.38160705566406,-2.7005724e-05,0.0022861576,0.0,2.384185791015625e-07,0.9706175
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.02877,0.02,0.1,0.99,2025-07-27 02:43:52,6.9996867,0.012208141,7.0,7.0,46.01328,25.946316,25.096988677978516,70.06243133544922,4.398334,2.432848,2.3968050479888916,6.626282691955566,47.381794,26.208176,25.819175720214844,71.38160705566406,-7.097065e-05,0.0038085228,0.0,2.384185791015625e-07,0.97111726
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.002877,0.001,0.1,0.98,2025-07-27 02:44:24,6.99453,0.05098032,7.0,7.0,45.955017,25.964886,24.05128288269043,70.06243133544922,4.3970246,2.4320972,2.3964109420776367,6.625087261199951,47.381794,26.208176,25.819175720214844,71.38160705566406,-0.0013802238,0.01957171,0.0,2.384185791015625e-07,0.9698877
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.02877,0.02,0.1,0.98,2025-07-27 03:16:22,6.475344,1.2040755,7.0,7.0,46.166286,25.744392,25.096988677978516,70.06243133544922,4.3919654,2.4299643,2.39148211479187,6.616130828857422,47.381794,26.208176,25.819175720214844,71.38160705566406,-0.006439635,0.114569835,0.0,4.76837158203125e-07,0.9743465
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.002877,0.001,0.2,0.99,2025-07-27 03:39:55,6.99431,0.053242687,7.0,7.0,45.984108,25.9616,24.05128288269043,70.06243133544922,4.3971596,2.4323077,2.39676833152771,6.624611854553223,47.381794,26.208176,25.819175720214844,71.38160705566406,-0.0012451186,0.018671207,0.0,2.384185791015625e-07,0.9705016
10,128,128,1,7,100,0.07549,0.002477,0.0004,shareGPT,vicuna13,./data/scores_rb/shareGPT-vicuna-d7-topk10-t1,t1d7,64,0.0001,0.0001,0.02877,0.02,0.2,0.99,2025-07-27 03:48:59,6.99981,0.009477277,7.0,7.0,46.009495,25.946959,24.05128288269043,70.06243133544922,4.398373,2.4328737,2.39676833152771,6.626282691955566,47.381794,26.208176,25.819175720214844,71.38160705566406,-3.16994e-05,0.002119576,0.0,2.384185791015625e-07,0.9710374
